"from","to","l","h","time","timeU","timeUCB","border"
"8211","2333",4.29438150875164,"motorway",2.57662890525098,80.4470151867566,80.4470151867566,0
"8211","1000559",1.7716115657177,"motorway",1.06296693943062,15.1482626606981,15.1482626606981,0
"8211","1000567",5.41426659413944,"motorway",3.24855995648367,17.3338556777511,17.3338556777511,0
"8211","5425",0.798800334010796,"primary",1.19820050101619,21.5553026251915,21.5553026251915,0
"8211","1054396",50.646909368122,"primary",75.970364052183,90.0556597734504,90.0556597734504,0
"8211","8208",8.24358510927899,"primary",12.3653776639185,36.1919372776294,36.1919372776294,0
"8211","1055432",25.0893143308575,"trunk",25.0893143308575,39.1746100521249,39.1746100521249,0
"3467","1001315",31.503413536245,"motorway",18.902048121747,32.7247749792733,32.7247749792733,0
"3467","4936",27.9345002319164,"trunk",27.9345002319164,49.5057036422167,49.5057036422167,0
"3467","1296977",16.0352162455621,"trunk",16.0352162455621,29.8579431030883,29.8579431030883,0
"2333","1000607",5.02526269249143,"motorway",3.01515761549486,66.800248175733,66.800248175733,0
"2333","1001157",35.0582830069546,"primary",52.5874245104319,116.37251507067,116.37251507067,0
"2333","1011439",4.43550770017237,"trunk",4.43550770017237,68.2205982604105,68.2205982604105,0
"2333","1027090",0.238103503723789,"motorway_link",0.142862102234274,63.9279526624724,63.9279526624724,0
"2333","1068481",6.31144620331469,"primary",9.46716930497203,73.2522598652101,73.2522598652101,0
"2333","1116973",7.55639828430163,"primary",11.3345974264524,75.1196879866906,75.1196879866906,0
"2333","3833",2.99980032528563,"primary",4.49970048792844,74.1639444263703,74.1639444263703,0
"7356","6261",1.55820888801664,"primary",2.33731333202496,44.3672133079577,44.3672133079577,0
"7356","1000307",0.247991986331924,"motorway",0.148795191799154,29.7424131223973,29.7424131223973,0
"7356","1000311",8.98147638680511,"motorway",5.38888583208307,34.9825037626812,34.9825037626812,0
"7356","1000863",5.33305871635163,"motorway",3.19983522981098,32.7934531604092,32.7934531604092,0
"7356","1041480",0.822783148398397,"motorway_link",0.493669889039038,30.0872878196372,30.0872878196372,0
"7356","1134459",4.19950593118281,"primary",6.29925889677421,35.8928768273724,35.8928768273724,0
"6261","5163",9.77550082571729,"primary",14.6632512385759,34.5507076879894,34.5507076879894,0
"7254","1000789",0.673814637935715,"primary",1.01072195690357,16.1779380641674,16.1779380641674,0
"7254","1067779",4.80062271197747,"primary",7.2009340679662,22.3681501752301,22.3681501752301,0
"2938","5889",16.40050818566,"motorway",9.84030491139602,37.9959998153873,37.9959998153873,0
"2938","1032852",0.614687180451677,"motorway_link",0.368812308271006,15.6724429595613,15.6724429595613,0
"2938","1055190",6.70748286039561,"primary",10.0612242905934,25.3648549418837,25.3648549418837,0
"2938","1055917",45.7273097527537,"trunk",45.7273097527537,61.030940404044,61.030940404044,0
"2938","1083983",0.17396495382709,"primary",0.260947430740635,15.5645780820309,15.5645780820309,0
"2938","1305251",40.5378912559752,"motorway",24.3227347535851,39.6263654048754,39.6263654048754,0
"5889","1004278",3.59628211291671,"motorway",2.15776926775003,15.0098335204511,15.0098335204511,0
"8760","1367259",6.039316563272,"added",24.157266253088,36.6541992101512,36.6541992101512,0
"2915","3099",0.676879775515264,"motorway",0.406127865309158,71.4838802931126,71.4838802931126,0
"2915","1001979",1.36780168264204,"motorway",0.820681009585222,59.4052352879955,59.4052352879955,0
"2915","1003575",1.83914368559683,"motorway",1.1034862113581,59.6880404897684,59.6880404897684,0
"2915","1003757",5.04827906016501,"motorway",3.028967436099,61.6135217145093,61.6135217145093,0
"2915","1003805",6.15988945022517,"motorway",3.6959336701351,62.2804879485454,62.2804879485454,0
"2915","1032165",5.53681104274651,"primary",8.30521656411977,66.88977084253,66.88977084253,0
"2915","1032596",0.201373031919837,"motorway_link",0.120823819151902,58.7053780975622,58.7053780975622,0
