Agglomeration_ID,agglosName,x,y,Pop2015,ISO3,Region,Between,degree
2320,Cairo,31.324,30.13,22995802,EGY,North,69796167.84,6
5199,Lagos,3.316,6.668,11847635,NGA,West,31276633.81,4
7098,Onitsha,6.928,5.815,8530514,NGA,West,21103884.93,6
4220,Johannesburg,28.016,-26.05,8314220,ZAF,South,35689737.82,5
4858,Kinshasa,15.293,-4.408,7270000,COD,Central,1119783.821,4
5331,Luanda,13.385,-8.924,6979211,AGO,Central,2296773.6,3
597,Alexandria,29.797,31.125,6585102,EGY,North,29745470.19,9
6509,Nairobi,36.813,-1.181,5877118,KEN,East,9670021.929,4
2622,Dar es Salaam,39.177,-6.807,5325879,TZA,East,3489326.747,4
4740,Khartum,32.538,15.522,5264746,SDN,North,5337277.801,7
4903,Kisumu,34.764,0.37,5040159,KEN,East,10014562.18,3
32,Abidjan,-3.949,5.368,4717347,CIV,West,3383169.879,3
145,Accra,-0.203,5.657,4452483,GHA,West,4771741.548,8
2341,Casablanca,-7.618,33.557,4182929,MAR,North,19508109.6,6
9059,Yaoundé,11.532,3.93,3901680,CMR,Central,2411728.042,9
4519,Kano,8.526,11.998,3888582,NGA,West,4380268.555,9
631,Alger,3.036,36.681,3886202,DZA,North,21578398.09,11
4486,Kampala,32.546,0.291,3790894,UGA,East,5136018.13,7
8219,Suhag,31.477,26.714,3749685,EGY,North,10363272.24,3
159,Addis Ababa,38.773,8.884,3711329,ETH,East,5946818.448,9
2333,Cape Town,18.534,-33.969,3661684,ZAF,South,8452807.719,8
4899,Kisii,34.772,-0.677,3407476,KEN,East,9850756.426,3
2915,Durban,31.005,-29.848,3088935,ZAF,South,10545843.53,9
3853,Ibadan,3.91,7.426,3088477,NGA,West,24581000.69,7
2545,Dakar,-17.458,14.738,3067637,SEN,West,7029980.54,4
5112,Kumasi,-1.627,6.683,2802344,GHA,West,3923607.565,6
1547,Bamako,-8.028,12.631,2781734,MLI,West,556684.629,5
2478,Cidade de Maputo,32.592,-25.758,2607026,MOZ,East,1513296.304,4
2866,Douala,9.749,4.062,2567572,CMR,Central,2888756.566,2
8682,Tunis,10.185,36.78,2442503,TUN,North,5587118.114,8
5398,Lusaka,28.306,-15.412,2426689,ZMB,East,2151605.023,4
7156,Ouagadougou,-1.509,12.346,2299007,BFA,West,707162.6101,7
3743,Harare,31.094,-17.874,2272905,ZWE,East,2299858.983,8
8806,Uyo,7.739,5.08,2271025,NGA,West,8469682.674,4
8144,Sodo,37.866,7.112,2261958,ETH,East,1623514.778,2
5845,Mbale,34.371,0.964,2228643,UGA,East,518262.6529,2
4802,Kigali,30.01,-1.797,2202094,RWA,East,2774593.13,5
2500,Conakry,-13.517,9.703,2186966,GIN,West,392416.5624,6
3778,Hawassa,38.415,6.743,2182604,ETH,East,2534266.398,2
5344,Lubumbashi,27.487,-11.655,2077000,COD,Central,1116528.225,3
3094,Embu,36.915,-0.668,2046897,KEN,East,1567676.292,1
829,al-Mansura,31.289,31,2018861,EGY,North,39709185.37,7
133,Abuja,7.466,9.083,1998816,NGA,West,12895989.44,6
8382,Tarâbulus,13.093,32.688,1949325,LBY,North,443211.3477,11
7457,Rabat,-6.848,33.985,1925479,MAR,North,20744502.07,9
7357,Port Harcourt,7.029,4.83,1845232,NGA,West,8639152.15,4
5317,Lomé/Aflao [TGO],1.157,6.235,1733330,TGO,West,3350315.888,4
6180,Mogadisho,45.338,2.059,1712400,SOM,East,590017.4368,2
9,Aba,7.357,5.224,1687158,NGA,West,18121369.9,5
2158,Brazzaville,15.263,-4.242,1588304,COG,Central,205186.8563,3
1822,Benin,5.613,6.326,1569977,NGA,West,9479946.86,6
2505,Cotonou,2.355,6.501,1527277,BEN,West,3087550.848,3
3280,Freetown,-13.155,8.394,1456596,SLE,West,807825.3333,5
4291,Kaduna,7.414,10.53,1447250,NGA,West,5397542.527,5
6869,Nsukka,7.415,6.853,1430312,NGA,West,7560571.083,6
1350,Asyut,31.206,27.215,1345668,EGY,North,9781271.695,7
8177,Soshanguve,28.121,-25.43,1293433,ZAF,South,8671685.782,2
6212,Mombasa,39.693,-4.003,1257654,KEN,East,1107946.99,3
6627,Ndjamena/Kousséri [TCD],15.046,12.147,1210048,TCD,Central,94053.7502,2
6224,Monrovia,-10.747,6.338,1190635,LBR,West,246472.5185,4
3232,Fes,-5.011,33.987,1174743,MAR,North,6481190.389,8
